days_before_started_study,num_slides,num_assignments_done,avg_sleep_last_week,coffee_cups_per_day,hours_studied_last_week,avg_quiz_score,midterm_score,assignments_done_ratio,class_attendance_ratio,sleep_hours_before_exam,stress_level,ai_background,mentality_type,exam_time,crisis_type
8,125,0,6.2,7,39.6,16.7,15.1,0.01,0.75,3.8,3.0,none,memorization_heavy,morning,panic_mode
9,124,4,8.8,3,16.1,17.9,15.6,0.43,0.91,8.9,2.0,basic,memorization_heavy,morning,Denial_mode
10,300,7,4.2,6,15.1,1.0,7.7,0.77,0.13,8.5,4.0,none,theory_heavy,morning,panic_mode
4,88,9,4.1,0,38.3,7.9,8.7,0.93,0.14,6.9,2.0,none,project_heavy,morning,No_issue
4,128,6,8.1,0,14.5,5.5,8.9,0.65,0.14,8.6,3.0,none,memorization_heavy,afternoon,panic_mode
4,261,7,5.0,4,22.6,4.0,6.6,0.79,0.39,6.0,3.0,none,project_heavy,Evening,panic_mode
5,268,8,7.6,4,27.0,15.6,14.1,0.82,0.67,8.8,1.0,basic,memorization_heavy,Evening,Denial_mode
5,93,3,8.3,5,33.3,13.0,16.9,0.37,0.91,6.5,2.0,basic,memorization_heavy,Evening,No_issue
5,254,5,8.3,7,35.1,5.6,6.6,0.57,0.74,3.9,2.0,none,memorization_heavy,morning,No_issue
4,113,2,5.2,4,1.8,5.3,8.9,0.23,0.49,3.2,5.0,none,memorization_heavy,Evening,panic_mode
0,222,2,6.3,6,8.1,16.9,15.1,0.21,0.61,7.9,5.0,strong,memorization_heavy,afternoon,panic_mode
5,275,7,4.9,6,39.8,7.9,12.3,0.77,0.2,7.0,,none,theory_heavy,Evening,panic_mode
8,272,2,8.9,7,31.1,10.8,13.8,0.3,0.08,6.0,3.0,basic,theory_heavy,afternoon,panic_mode
5,138,7,6.4,1,10.9,8.5,7.8,0.75,0.73,8.7,3.0,none,memorization_heavy,Evening,panic_mode
0,117,3,4.8,2,8.7,16.8,16.2,0.39,0.99,5.1,4.0,basic,memorization_heavy,afternoon,No_issue
6,217,6,6.6,5,13.4,1.6,5.5,0.65,0.19,5.3,3.0,none,theory_heavy,afternoon,panic_mode
0,122,3,8.1,4,4.3,15.2,12.3,0.37,0.76,4.1,4.0,strong,memorization_heavy,morning,Denial_mode
1,141,4,6.1,0,12.0,11.2,7.2,0.49,0.74,6.4,4.0,none,project_heavy,morning,panic_mode
5,141,6,8.7,6,25.0,3.3,11.3,0.63,0.09,5.0,1.0,none,theory_heavy,afternoon,No_issue
10,157,4,8.3,0,17.4,20.0,17.5,0.47,0.86,4.4,2.0,strong,memorization_heavy,afternoon,No_issue
9,280,0,6.4,3,5.4,11.6,14.6,0.08,0.34,7.3,3.0,basic,project_heavy,Evening,No_issue
8,189,0,7.2,2,27.8,0.9,5.8,0.07,0.15,6.0,2.0,none,project_heavy,morning,Denial_mode
3,162,1,4.4,2,30.0,11.6,12.6,0.1,0.83,5.7,3.0,none,theory_heavy,morning,No_issue
4,134,6,6.9,7,29.9,9.5,13.1,0.63,0.09,5.5,4.0,none,theory_heavy,morning,panic_mode
6,202,7,7.7,1,7.2,20.0,19.6,0.74,0.6,8.2,,strong,theory_heavy,morning,Denial_mode
8,75,3,8.0,3,28.7,15.0,13.5,0.33,0.78,4.2,2.0,none,theory_heavy,morning,No_issue
9,224,7,8.3,1,14.1,18.3,12.9,0.77,0.95,7.5,2.0,basic,project_heavy,Evening,No_issue
8,246,2,8.7,3,3.3,14.5,14.8,0.27,0.01,4.3,3.0,basic,project_heavy,afternoon,panic_mode
4,142,7,8.9,1,39.6,13.4,13.0,0.72,0.38,8.5,2.0,none,theory_heavy,morning,Denial_mode
0,160,0,6.8,6,1.6,11.6,15.4,0.01,0.79,5.5,5.0,basic,project_heavy,Evening,Denial_mode
8,182,0,6.3,4,18.6,17.4,13.4,0.06,0.53,4.4,3.0,basic,theory_heavy,morning,panic_mode
3,245,5,8.7,2,14.7,17.6,15.3,0.55,0.68,5.1,1.0,,project_heavy,morning,No_issue
3,258,4,5.6,2,38.1,11.0,9.6,0.44,0.66,3.8,2.0,none,project_heavy,morning,No_issue
9,180,7,7.5,0,14.5,10.0,11.5,0.77,0.52,6.7,1.0,basic,memorization_heavy,afternoon,No_issue
8,136,6,6.7,4,14.3,11.5,12.4,0.69,0.83,8.2,2.0,none,memorization_heavy,Evening,Denial_mode
9,138,1,6.9,6,3.8,9.9,10.9,0.13,0.04,7.7,4.0,,theory_heavy,afternoon,panic_mode
5,162,6,7.5,5,5.0,6.5,10.2,0.64,0.95,3.7,,basic,theory_heavy,afternoon,panic_mode
2,278,3,5.4,4,30.5,8.2,12.9,0.36,0.72,6.8,3.0,none,project_heavy,Evening,No_issue
0,157,4,8.8,0,7.1,14.5,17.7,0.45,0.81,7.7,3.0,strong,memorization_heavy,Evening,No_issue
6,251,0,6.0,0,20.3,10.5,15.1,0.03,0.29,6.5,2.0,basic,project_heavy,Evening,Denial_mode
10,108,1,6.3,2,3.5,11.6,11.8,0.19,0.51,6.7,4.0,basic,memorization_heavy,Evening,No_issue
6,134,6,8.1,1,34.1,9.9,14.4,0.68,0.42,7.0,2.0,basic,project_heavy,morning,No_issue
0,277,1,4.4,2,1.6,19.2,17.8,0.19,0.24,6.1,5.0,,project_heavy,Evening,Denial_mode
5,157,1,5.1,2,11.9,11.2,17.6,0.11,0.37,3.2,2.0,basic,memorization_heavy,afternoon,Denial_mode
6,110,4,5.6,1,34.2,9.2,10.3,0.4,0.76,7.2,3.0,none,theory_heavy,Evening,No_issue
0,57,0,7.2,7,8.1,6.3,8.5,0.04,0.32,8.5,4.0,none,memorization_heavy,Evening,panic_mode
1,146,8,4.9,7,7.9,15.0,18.3,0.82,0.13,5.9,,strong,project_heavy,morning,panic_mode
3,235,4,4.3,2,33.6,12.9,15.1,0.42,0.48,8.2,3.0,,project_heavy,Evening,No_issue
6,156,4,5.2,7,39.3,7.8,6.9,0.45,0.69,3.6,4.0,none,theory_heavy,Evening,panic_mode
1,222,0,6.3,6,6.4,2.6,4.5,0.08,0.81,5.1,5.0,none,theory_heavy,Evening,panic_mode
6,86,6,4.6,4,3.1,7.6,13.5,0.61,0.18,4.3,3.0,none,project_heavy,Evening,panic_mode
9,132,1,6.3,0,12.1,4.4,9.2,0.18,0.52,9.0,2.0,none,project_heavy,morning,Denial_mode
7,288,7,8.8,0,14.1,14.3,12.0,0.75,0.64,4.5,2.0,none,theory_heavy,morning,No_issue
1,53,8,4.2,4,7.7,7.9,10.8,0.81,0.16,6.9,4.0,basic,memorization_heavy,morning,No_issue
10,238,2,5.4,1,9.7,8.3,14.9,0.28,0.19,6.3,4.0,none,memorization_heavy,afternoon,No_issue
8,239,1,4.4,3,26.1,11.2,,0.13,0.03,7.9,2.0,strong,project_heavy,morning,Denial_mode
0,164,4,8.4,5,5.2,6.5,10.6,0.5,0.39,6.8,4.0,none,memorization_heavy,morning,No_issue
7,265,5,6.2,4,35.1,9.2,12.2,0.57,0.22,3.6,,,memorization_heavy,Evening,panic_mode
8,300,3,8.9,4,11.4,13.3,11.4,0.34,0.24,8.9,2.0,basic,theory_heavy,morning,Denial_mode
7,296,7,6.2,6,5.7,5.5,9.5,0.76,0.23,7.6,4.0,none,theory_heavy,morning,panic_mode
5,126,3,7.5,3,36.6,20.0,20.0,0.36,0.56,5.6,,strong,project_heavy,afternoon,No_issue
3,95,5,8.7,0,32.6,8.6,11.3,0.52,0.55,3.6,1.0,none,theory_heavy,afternoon,No_issue
3,259,4,6.6,7,14.6,20.0,19.7,0.5,0.58,6.0,3.0,basic,theory_heavy,afternoon,panic_mode
7,275,7,8.8,6,30.6,9.9,9.7,0.72,0.6,7.1,3.0,none,theory_heavy,afternoon,panic_mode
3,243,8,5.6,1,23.6,8.6,11.1,0.84,0.47,5.8,2.0,none,memorization_heavy,Evening,No_issue
2,126,5,6.7,0,23.0,15.7,12.3,0.6,0.85,8.8,4.0,basic,memorization_heavy,Evening,No_issue
6,241,9,4.6,6,15.0,10.3,13.0,0.97,0.36,4.4,4.0,none,memorization_heavy,afternoon,panic_mode
6,262,1,5.6,3,16.9,7.8,13.1,0.15,0.19,3.0,3.0,basic,theory_heavy,morning,panic_mode
1,273,1,7.2,1,9.9,9.3,12.0,0.19,0.31,5.6,4.0,basic,project_heavy,morning,No_issue
9,91,5,4.4,3,14.0,6.6,12.9,0.53,0.18,5.0,2.0,basic,memorization_heavy,morning,No_issue
8,154,9,6.3,0,39.6,13.5,10.2,0.98,0.91,3.0,2.0,none,memorization_heavy,Evening,No_issue
8,181,5,8.9,5,24.5,12.2,9.1,0.52,0.66,7.1,,basic,memorization_heavy,morning,No_issue
6,239,4,7.1,0,25.2,5.9,10.1,0.45,0.2,5.8,2.0,none,project_heavy,afternoon,No_issue
4,298,0,6.2,1,38.7,13.8,17.5,0.05,0.75,5.5,2.0,strong,theory_heavy,afternoon,Denial_mode
7,299,3,7.3,7,1.0,9.8,9.0,0.35,0.15,3.3,3.0,none,theory_heavy,afternoon,panic_mode
6,54,8,6.8,4,36.1,10.7,15.2,0.81,0.21,7.0,3.0,basic,project_heavy,Evening,No_issue
8,101,6,6.8,0,12.6,6.7,8.6,0.66,0.85,4.4,2.0,none,theory_heavy,afternoon,No_issue
1,297,1,7.8,4,3.8,5.0,13.0,0.11,0.24,4.0,4.0,basic,project_heavy,morning,Denial_mode
2,248,7,4.0,7,2.7,12.9,11.7,0.8,0.26,8.8,5.0,basic,memorization_heavy,Evening,Denial_mode
1,87,3,7.9,1,10.4,6.6,8.6,0.3,0.38,5.4,4.0,none,project_heavy,Evening,panic_mode
4,293,0,8.5,0,16.9,13.7,15.5,0.02,0.25,7.5,2.0,basic,theory_heavy,Evening,Denial_mode
0,300,3,8.5,3,11.2,10.1,12.3,0.34,0.9,5.6,2.0,none,memorization_heavy,morning,No_issue
9,293,5,6.9,7,19.2,17.3,15.8,0.51,0.71,7.0,3.0,strong,project_heavy,Evening,panic_mode
10,274,6,4.5,6,27.2,9.9,13.8,0.69,0.34,5.8,4.0,basic,project_heavy,morning,panic_mode
8,78,3,8.8,1,12.1,11.6,12.0,0.39,0.68,7.5,2.0,none,project_heavy,afternoon,No_issue
4,209,2,6.4,4,3.9,17.6,13.0,0.29,0.98,8.9,3.0,basic,theory_heavy,Evening,No_issue
10,154,2,5.4,5,37.0,9.2,10.9,0.27,0.12,8.7,,none,project_heavy,afternoon,No_issue
10,94,8,4.8,7,23.5,10.3,13.7,0.83,0.28,5.4,,basic,theory_heavy,morning,No_issue
3,136,2,5.8,3,37.9,13.5,16.9,0.28,0.09,6.3,2.0,,theory_heavy,morning,Denial_mode
6,91,0,7.8,3,24.9,12.4,12.6,0.08,0.24,3.1,2.0,basic,project_heavy,morning,Denial_mode
3,266,7,7.5,3,18.7,8.0,9.6,0.76,0.33,8.0,2.0,none,theory_heavy,afternoon,Denial_mode
0,90,8,8.8,0,7.7,16.7,17.8,0.89,0.72,5.4,3.0,basic,theory_heavy,morning,No_issue
10,183,2,4.1,7,31.9,7.9,13.9,0.28,0.49,8.8,3.0,basic,project_heavy,Evening,panic_mode
8,133,7,4.2,5,28.6,13.7,16.7,0.76,0.9,5.1,4.0,strong,project_heavy,afternoon,No_issue
10,75,4,6.0,4,3.9,8.1,13.6,0.49,0.99,6.2,,basic,project_heavy,afternoon,No_issue
3,71,9,4.8,4,27.1,15.5,15.8,0.93,0.02,7.9,2.0,strong,theory_heavy,afternoon,No_issue
2,235,1,4.8,7,12.4,17.6,18.7,0.1,0.44,8.6,4.0,strong,project_heavy,Evening,panic_mode
8,225,5,7.1,7,20.4,9.4,7.4,0.52,0.77,4.3,3.0,none,project_heavy,Evening,panic_mode
2,105,5,7.7,5,11.6,12.5,9.2,0.52,0.85,8.7,3.0,none,memorization_heavy,Evening,panic_mode
4,237,3,5.2,4,7.5,9.1,10.2,0.38,0.91,3.1,3.0,none,project_heavy,morning,panic_mode
8,111,5,8.1,7,32.4,14.2,16.4,0.55,0.79,6.3,2.0,strong,theory_heavy,Evening,No_issue
4,223,0,4.6,6,21.0,3.2,11.4,0.02,0.18,6.2,4.0,basic,memorization_heavy,Evening,panic_mode
3,103,0,4.1,3,29.3,5.9,8.1,0.09,0.12,6.1,3.0,basic,theory_heavy,afternoon,panic_mode
3,226,4,6.7,4,30.1,7.6,11.7,0.41,0.98,6.9,2.0,none,memorization_heavy,Evening,No_issue
0,228,6,4.9,4,3.9,10.8,14.9,0.66,0.91,7.5,5.0,basic,project_heavy,afternoon,Denial_mode
4,146,9,5.7,0,25.7,7.5,15.0,0.98,0.44,5.8,3.0,basic,memorization_heavy,morning,No_issue
2,261,3,7.5,2,37.0,9.2,13.0,0.38,0.39,8.4,3.0,basic,theory_heavy,afternoon,No_issue
9,294,1,6.9,4,38.3,3.8,7.7,0.1,0.44,4.9,2.0,none,project_heavy,morning,Denial_mode
4,145,2,4.3,3,21.1,14.7,17.7,0.3,0.63,4.5,3.0,basic,memorization_heavy,morning,panic_mode
1,181,3,6.1,5,6.1,12.7,13.8,0.31,0.41,7.6,5.0,basic,memorization_heavy,Evening,No_issue
0,123,9,6.7,5,5.6,15.2,12.4,0.94,0.5,6.6,5.0,none,project_heavy,morning,No_issue
5,202,2,4.5,7,39.6,12.9,16.6,0.25,0.09,7.2,2.0,strong,memorization_heavy,afternoon,Denial_mode
2,234,5,8.4,6,1.5,6.3,11.6,0.57,0.57,4.1,5.0,none,theory_heavy,afternoon,Denial_mode
3,281,0,6.3,5,34.9,9.8,13.5,0.07,0.59,4.5,4.0,none,project_heavy,afternoon,panic_mode
0,101,0,8.8,2,3.6,13.8,11.9,0.04,0.31,7.1,4.0,basic,project_heavy,Evening,Denial_mode
3,297,3,8.7,1,2.0,4.4,6.0,0.38,0.23,5.3,3.0,none,theory_heavy,morning,panic_mode
6,221,4,5.1,5,5.8,11.8,15.2,0.43,0.08,7.5,4.0,strong,project_heavy,afternoon,No_issue
5,101,1,8.0,2,14.8,6.5,10.1,0.17,0.51,3.5,1.0,none,memorization_heavy,afternoon,Denial_mode
2,251,5,6.2,1,3.3,11.8,10.6,0.59,0.64,4.3,5.0,none,theory_heavy,Evening,Denial_mode
10,64,6,6.7,6,27.9,9.4,9.5,0.66,0.03,5.2,4.0,none,theory_heavy,morning,panic_mode
8,123,4,5.1,7,1.6,15.0,13.9,0.5,0.71,5.1,4.0,none,memorization_heavy,afternoon,panic_mode
1,109,8,4.2,2,6.6,11.8,13.4,0.86,0.39,6.9,5.0,basic,project_heavy,afternoon,No_issue
5,83,2,4.8,3,23.4,5.8,11.0,0.23,0.32,6.2,2.0,none,theory_heavy,morning,Denial_mode
1,110,0,4.5,2,7.9,18.6,14.7,0.05,0.94,8.2,5.0,basic,memorization_heavy,afternoon,No_issue
5,60,1,5.2,2,13.2,9.5,14.2,0.12,0.62,8.1,3.0,basic,project_heavy,Evening,No_issue
8,215,1,5.4,7,29.3,18.9,16.2,0.1,0.95,7.0,3.0,none,project_heavy,Evening,panic_mode
9,268,9,5.3,7,39.0,9.3,12.1,0.92,0.12,8.0,,none,project_heavy,morning,panic_mode
3,173,9,4.2,4,3.3,15.2,14.5,0.95,0.51,6.8,,none,project_heavy,afternoon,No_issue
8,217,9,5.1,1,20.8,3.5,12.0,0.95,0.29,3.3,,basic,memorization_heavy,morning,panic_mode
9,165,5,7.2,6,39.0,15.8,16.6,0.59,0.59,8.5,2.0,strong,memorization_heavy,morning,Denial_mode
10,158,7,5.1,6,21.0,14.3,16.5,0.71,0.5,5.0,3.0,strong,theory_heavy,afternoon,panic_mode
4,117,3,8.6,2,21.8,17.9,25.0,0.37,0.68,5.8,2.0,strong,theory_heavy,Evening,No_issue
0,87,5,4.9,3,7.2,14.1,14.2,0.57,0.12,6.8,5.0,none,theory_heavy,afternoon,No_issue
7,228,1,6.5,1,31.0,15.8,14.5,0.13,0.05,7.5,3.0,strong,memorization_heavy,morning,No_issue
1,87,1,4.6,2,3.8,14.2,16.6,0.16,0.29,7.0,5.0,basic,theory_heavy,morning,Denial_mode
10,144,5,7.3,3,26.1,8.5,5.6,0.53,0.79,7.1,2.0,none,project_heavy,Evening,No_issue
0,149,0,8.6,6,3.9,7.1,9.1,0.07,0.48,3.2,4.0,none,theory_heavy,morning,Denial_mode
1,117,7,6.2,2,4.7,12.5,7.4,0.76,0.71,5.4,,none,memorization_heavy,morning,Denial_mode
3,130,4,6.1,7,4.3,11.8,16.6,0.47,0.34,7.9,4.0,strong,theory_heavy,afternoon,panic_mode
5,143,0,6.4,5,24.8,12.3,16.3,0.01,0.71,8.7,4.0,none,theory_heavy,morning,No_issue
6,124,9,8.1,1,25.8,8.3,8.6,0.95,0.82,7.3,2.0,none,theory_heavy,morning,No_issue
6,279,1,7.7,5,38.4,8.2,14.3,0.15,0.07,5.6,2.0,strong,memorization_heavy,afternoon,Denial_mode
3,173,7,6.1,6,6.0,6.2,14.6,0.76,0.25,8.3,4.0,strong,memorization_heavy,morning,panic_mode
3,139,0,4.8,5,8.0,8.7,10.1,0.07,0.98,7.3,4.0,none,project_heavy,Evening,No_issue
5,220,8,6.7,0,26.3,10.0,11.6,0.88,0.54,7.0,2.0,basic,memorization_heavy,afternoon,No_issue
4,76,3,8.5,4,25.2,10.3,12.5,0.36,0.92,3.4,2.0,basic,memorization_heavy,Evening,No_issue
7,101,7,6.0,4,1.2,8.2,10.8,0.79,0.31,4.4,4.0,basic,project_heavy,afternoon,panic_mode
1,70,2,7.3,1,0.1,7.2,12.1,0.27,0.44,3.2,3.0,basic,theory_heavy,afternoon,Denial_mode
4,220,1,4.4,0,33.2,7.1,9.5,0.14,0.47,7.2,2.0,none,memorization_heavy,Evening,Denial_mode
9,217,2,5.3,1,5.5,10.3,12.2,0.25,0.34,6.8,4.0,basic,memorization_heavy,Evening,No_issue
9,221,3,5.2,31,25.2,6.0,7.3,0.39,0.48,3.9,3.0,none,project_heavy,Evening,panic_mode
6,54,3,7.1,4,4.2,15.3,11.4,0.36,0.91,3.4,3.0,basic,theory_heavy,morning,panic_mode
5,297,0,5.9,4,6.1,7.8,11.1,0.09,0.66,4.3,3.0,basic,memorization_heavy,Evening,panic_mode
6,65,5,6.3,3,27.0,14.5,10.2,0.54,0.7,8.3,,none,theory_heavy,Evening,No_issue
5,159,0,8.9,0,1.5,20.0,20.0,0.04,0.98,3.6,3.0,strong,project_heavy,Evening,panic_mode
1,91,1,6.6,0,3.2,7.3,10.8,0.15,0.73,5.3,4.0,basic,memorization_heavy,Evening,Denial_mode
2,274,0,6.8,3,27.1,11.3,12.2,0.08,0.95,3.1,3.0,none,project_heavy,morning,panic_mode
3,209,2,4.0,1,15.1,13.3,10.8,0.27,0.31,6.4,3.0,basic,theory_heavy,morning,No_issue
10,288,3,8.5,7,2.7,7.7,10.3,0.36,0.28,5.2,3.0,none,memorization_heavy,morning,panic_mode
0,100,6,5.8,1,8.5,12.0,14.2,0.61,0.85,7.9,5.0,basic,theory_heavy,afternoon,No_issue
3,174,2,4.5,2,7.7,10.4,15.8,0.23,0.18,8.2,3.0,basic,memorization_heavy,morning,No_issue
8,213,8,8.5,0,23.2,11.3,10.9,0.87,0.51,7.8,1.0,none,memorization_heavy,Evening,No_issue
9,184,5,6.6,1,12.1,8.2,11.3,0.53,0.95,4.4,2.0,,theory_heavy,Evening,No_issue
3,136,2,4.3,4,6.7,15.7,18.0,0.3,0.7,7.6,3.0,basic,theory_heavy,Evening,No_issue
4,139,6,7.1,34,5.7,13.2,14.5,0.6,0.97,3.0,3.0,none,theory_heavy,afternoon,panic_mode
6,281,0,5.7,2,2.4,9.5,8.9,0.04,0.92,8.8,5.0,none,project_heavy,Evening,panic_mode
10,136,1,4.0,6,9.3,3.6,10.1,0.12,0.23,4.7,4.0,basic,theory_heavy,afternoon,panic_mode
7,184,5,8.7,6,23.4,15.6,11.6,0.52,0.55,7.8,2.0,none,memorization_heavy,morning,No_issue
0,113,4,5.9,5,9.8,10.8,11.6,0.41,0.86,3.5,4.0,basic,memorization_heavy,afternoon,panic_mode
0,81,2,4.4,1,3.2,4.9,8.4,0.28,0.4,5.6,5.0,basic,project_heavy,Evening,Denial_mode
